PC:C610 A:3F X:17 Y:01 S:FD P:24 INST:49 FF 29
PC:C612 A:C0 X:17 Y:01 S:FD P:A4 INST:29 7E B0
PC:C614 A:40 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:40 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:20 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:20 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:20 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:10 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:10 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:10 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:08 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:08 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:08 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:04 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:04 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:04 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:02 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:02 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:02 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:01 X:17 Y:01 S:FD P:24 INST:D0 FB 98
PC:C614 A:01 X:17 Y:01 S:FD P:24 INST:B0 08 4A
PC:C616 A:01 X:17 Y:01 S:FD P:24 INST:4A D0 FB
PC:C617 A:00 X:17 Y:01 S:FD P:27 INST:D0 FB 98
PC:C619 A:00 X:17 Y:01 S:FD P:27 INST:98 9D 56
PC:C61A A:01 X:17 Y:01 S:FD P:25 INST:9D 56 03
PC:C61D A:01 X:17 Y:01 S:FD P:25 INST:C8 E8 10
